horizon	method	drift_exponent	worst_case_efficiency	worst_case_p	worst_case_drift_ratio
10	Windowing	0.05994842503189412	0.8179165955480363	4.0	0.9013370389517429
10	Windowing	0.10000000000000002	0.8220325794376673	3.6	0.8410310505352601
10	Windowing	0.2	0.8308550846823007	1.0	0.6158482110660264
10	Windowing	0.3	0.8398598916873781	1.0	0.4668452370703792
10	Windowing	0.4	0.8485639026618172	1.0	0.3663614544020714
10	Windowing	0.5	0.8570997535797343	2.4	0.4207849036297401
10	Windowing	0.6	0.8598112320752493	1.0	0.536195677056882
10	Windowing	0.7	0.854557232487346	1.0	0.48329302385717493
10	Windowing	0.8	0.8617359417362974	1.0	0.4356099030694608
10	Windowing	0.9	0.8579501646014499	1.0	0.406464439570963
10	Windowing	1.0	0.858098092917501	1.0	0.3663614544020714
10	Windowing	1.1	0.8664383177926275	1.1	0.3418492146175927
10	Windowing	1.2	0.8695963921177323	1.2	0.3302151484968176
10	Windowing	1.3	0.8686798470928875	1.3	0.3081213588714004
10	Windowing	1.4	0.8785931218220239	1.4	0.287505804094488
10	Windowing	1.5	0.8812102149707408	1.5	0.2777211932429354
10	Windowing	1.6	0.8853484856906109	1.6	0.25913963014396574
10	Windowing	1.7	0.8899451176332885	1.7	0.25032039797173256
10	Windowing	1.8	0.8942263900156264	1.8	0.23357214690901223
10	Windowing	1.9	0.8949781751787035	1.9	0.2256230462970633
10	Windowing	2.0	0.902345902126758	2.15	0.2179444753752986
10	Windowing	2.1	0.9048182075633493	2.1	0.20336240846866735
10	Windowing	2.2	0.9057188264600441	2.2	0.19644142809066267
10	Windowing	2.3	0.9133506694465524	2.4349999999999996	0.18975598765218504
10	Windowing	2.4	0.9161003644126945	2.53	0.1832980710832435
10	Windowing	2.5	0.9196743023082846	2.5	0.17103410003378397
10	Windowing	2.6	0.9217930411059836	2.6	0.16521334063573703
10	Windowing	2.7	0.9241437183192156	2.7	0.15959067764047302
10	Windowing	2.8	0.9266853169924831	2.8	0.15415936928422727
10	Windowing	2.9	0.9302136770714334	2.9	0.14891290324394088
10	Windowing	3.0	0.9338734073906138	3.0	0.1438449888287663
10	Windowing	3.1	0.9368870348449378	3.1	0.1389495494373137
10	Windowing	3.2	0.9392573893161288	3.2	0.1342207152716013
10	Windowing	3.3	0.9409907381580993	3.3	0.12965281629896674
10	Windowing	3.4	0.9438627269804134	3.4	0.1252403754535073
10	Windowing	3.5	0.9467580210545355	3.5	0.12097810206889008
10	Windowing	3.6	0.9485542709963413	3.6	0.07196856730011524
10	Windowing	3.7	0.9508310374442973	3.7	0.06951927961775602
10	Windowing	3.8	0.9518533802659728	3.92	0.06951927961775602
10	Windowing	3.9	0.9538302365578641	4.01	0.06715334791115145
10	Windowing	4.0	0.9545768084271943	4.05	0.06486793534788508
10	Windowing	4.1	0.9556446799125515	4.1	0.06266030164072657
10	Windowing	4.2	0.9575144627750901	4.36	0.06266030164072657
10	Windowing	4.3	0.958563691128156	4.3	0.04281332398719392
10	Windowing	4.4	0.9598951763410664	4.460000000000001	0.058467872769375935
10	Windowing	4.5	0.9606870123645167	4.55	0.041356269178177106
10	Windowing	4.6	0.9615815676850372	4.619999999999999	0.039948801939541694
10	Windowing	4.7	0.9624423443287798	4.82	0.039948801939541694
10	Windowing	4.8	0.9633395449000528	4.87	0.03858923467029906
10	Windowing	4.9	0.964048495566653	4.91	0.03727593720314938
10	Windowing	5.0	0.9654651171890205	5.0	0.02825711502920827
10	Smoothing	0.0	0.9999999999999964	2.8	0.9659672580093828
10	Smoothing	0.0010000000000000002	0.9999616424019417	1.0	0.9659672580093828
10	Smoothing	0.0016681005372000597	0.9998912922083604	1.0	0.9659672580093828
10	Smoothing	0.002782559402207127	0.9996859616320986	1.0	0.9659672580093828
10	Smoothing	0.004641588833612776	0.9990980987306406	1.0	0.9659672580093828
10	Smoothing	0.007742636826811269	0.9976282277666307	1.0	0.9659672580093828
10	Smoothing	0.012915496650148841	0.9969458454467787	2.6	0.9659672580093828
10	Smoothing	0.02154434690031884	0.9742115782318603	1.0	0.9659672580093828
10	Smoothing	0.03593813663804627	0.9702152689250029	3.0	0.9659672580093828
10	Smoothing	0.05994842503189412	0.9683159789874329	1.6	0.9330927435461669
10	Smoothing	0.10000000000000002	0.9666864576315396	4.2	0.9013370389517429
10	Smoothing	0.2	0.9614644495996926	1.6	0.7847599703514607
10	Smoothing	0.3	0.9559248169596668	1.2	0.6832607387157399
10	Smoothing	0.4	0.950247189935715	2.2	0.6375456372456503
10	Smoothing	0.5	0.943976374698371	1.2	0.48329302385717493
10	Smoothing	0.6	0.936585488061752	1.4	0.4356099030694608
10	Smoothing	0.7	0.9289698970264865	1.0	0.3418492146175927
10	Smoothing	0.8	0.9208639268178386	2.2	0.379269019073225
10	Smoothing	0.9	0.9119085557827192	1.0	0.25032039797173256
10	Smoothing	1.0	0.9036179453855874	2.6	0.318977021546632
10	Smoothing	1.1	0.8941686857953866	1.1	0.19644142809066267
10	Smoothing	1.2	0.8853747876580159	1.39	0.19644142809066267
10	Smoothing	1.3	0.8758838087454575	1.3	0.16521334063573703
10	Smoothing	1.4	0.866505662126565	1.76	0.17705993512268992
10	Smoothing	1.5	0.8569612924505257	1.5	0.1342207152716013
10	Smoothing	1.6	0.847310717788189	2.2800000000000002	0.16521334063573703
10	Smoothing	1.7	0.8376291067976112	2.0300000000000002	0.1389495494373137
10	Smoothing	1.8	0.8279322345924083	2.12	0.12965281629896674
10	Smoothing	1.9	0.8184956853544588	2.365	0.1252403754535073
10	Smoothing	2.0	0.8089234224456593	3.05	0.1342207152716013
10	Smoothing	2.1	0.7993341869722747	2.1	0.09493877179275831
10	Smoothing	2.2	0.7900610856017215	2.4800000000000004	0.09828363332770022
10	Smoothing	2.3	0.7807882363198274	2.4349999999999996	0.0885866790410083
10	Smoothing	2.4	0.7717435983708169	2.4	0.07984645497739083
10	Smoothing	2.5	0.7629806478234007	2.875	0.08557183144940002
10	Smoothing	2.6	0.7541487181664553	2.6	0.07196856730011524
10	Smoothing	2.7	0.7456967342026307	3.505	0.08557183144940002
10	Smoothing	2.8	0.7372063908799211	3.2399999999999998	0.07450414773728911
10	Smoothing	2.9	0.7288336644482197	3.005	0.06715334791115145
10	Smoothing	3.0	0.7206112718094884	3.9000000000000004	0.07712906117627998
10	Smoothing	3.1	0.7124501956560253	3.29	0.06266030164072657
10	Smoothing	3.2	0.704542707442966	3.5600000000000005	0.06266030164072657
10	Smoothing	3.3	0.696827455194961	3.5549999999999997	0.058467872769375935
10	Smoothing	3.4	0.6892712324494382	3.56	0.0545559478116852
10	Smoothing	3.5	0.6819633183588537	3.9499999999999997	0.056478050740675516
10	Smoothing	3.6	0.6746774736608099	3.67	0.04917329645779017
10	Smoothing	3.7	0.6676738505057885	3.765	0.04749979434661414
10	Smoothing	3.8	0.660784177242594	4.16	0.04917329645779017
10	Smoothing	3.9	0.654050081702765	4.285	0.04917329645779017
10	Smoothing	4.0	0.6473093306101564	4.1	0.04432171342476088
10	Smoothing	4.1	0.6407373155982232	4.505	0.045883246101008426
10	Smoothing	4.2	0.6343417826688542	4.4399999999999995	0.04281332398719392
10	Smoothing	4.3	0.6280617775196475	4.545	0.041356269178177106
10	Smoothing	4.4	0.6219693700403789	4.640000000000001	0.039948801939541694
10	Smoothing	4.5	0.6159809610016379	4.725	0.03858923467029906
10	Smoothing	4.6	0.6101761963313179	4.66	0.0360073348498562
10	Smoothing	4.7	0.6044553446208493	4.73	0.03478190651314129
10	Smoothing	4.8	0.5988847447355881	4.81	0.03359818286283783
10	Smoothing	4.9	0.5934892605529528	5.0	0.03359818286283783
10	Smoothing	5.0	0.5881069208991038	5.0	0.0324547445741133
100	Triangular	0.0	0.9999999999999947	1.0	0.2179444753752986
100	Triangular	0.0010000000000000002	0.9998308479695314	1.0	0.9659672580093828
100	Triangular	0.0016681005372000597	0.9994469332631838	1.0	0.9659672580093828
100	Triangular	0.002782559402207127	0.9979221353348502	1.0	0.9659672580093828
100	Triangular	0.004641588833612776	0.9894021882064417	1.0	0.9659672580093828
