76.82728372457586, 10.0, 0.2
154.11716454972168, 8.0, 0.2
84.74995899152418, 100.0, 1.0
87.06767717089747, 6000.0, 100.0
171930316576777, 80.0, 0.2
14.582122662553502, 20.0, 0.6
51.7373785110326, 100.0, 0.6
48.101253584335836, 80.0, 1.0
58.669864883431956, 40.0, 0.2
79.46961648534852, 60.0, 0.8
87.06767717089747, 6000.0, 100.0
49.55480879805032, 3000.0, 100.0
92.35900390395568, 3000.0, 300.0
74.93772012566683, 2000.0, 100.0
34.82109634027893, 6000.0, 100.0
35.21281441340841, 1000.0, 300.0
95.54191000289461, 3000.0, 300.0
54.92703801032053, 8000.000000000001, 100.0
64.60481616835546, 4000.0, 100.0
93.20410237362307, 8000.000000000001, 100.0
