number_of_items	drift	method	average_cost	standard_error	number_of_source_files
4	0.1	SAA	921.2573948910499	11.848576208600655	100
4	0.1	Smoothing	480.22573913344763	4.873136239153789	100
4	0.1	Intersection	528.8436345350815	11.210030587769788	100
4	0.1	Weighted	425.24136041038787	9.002259025722475	100
5	0.01	SAA	304.0104593248988	3.906275277735317	100
5	0.01	Smoothing	251.8924518859077	4.2799094612425845	100
5	0.01	Intersection	446.1769658696242	11.104458748194215	100
5	0.01	Weighted	251.43016441309143	4.2691154927752955	100
5	0.05	SAA	718.7696866121037	8.029511011068426	100
5	0.05	Smoothing	387.4074310240376	4.553028802609816	100
5	0.05	Intersection	496.2113427280692	11.1296947889676	100
5	0.05	Weighted	358.0686884724322	8.200017593921451	100
5	0.1	SAA	1081.0937775194793	12.793061200094385	100
5	0.1	Smoothing	561.3249125433279	4.917434390353078	100
5	0.1	Intersection	583.8012923983322	10.885279274669447	100
5	0.1	Weighted	485.6989795220743	8.01557106149412	100
6	0.01	SAA	339.19152555988074	3.9099140880001437	100
6	0.01	Smoothing	273.76127507677865	4.234985778938327	100
6	0.01	Intersection	480.2964862916756	11.567483505048731	100
6	0.01	Weighted	272.68036507722564	4.291278076299547	100
6	0.05	SAA	824.5221214011855	8.6979765476397	100
6	0.05	Smoothing	436.1476190496876	4.506216269830151	100
6	0.05	Intersection	534.6839478055994	11.064916472398744	100
6	0.05	Weighted	399.85014519859436	8.253051112304286	100
6	0.1	SAA	1217.4495872443088	12.821319409460333	100
6	0.1	Smoothing	636.4554191847382	4.87033677992361	100
6	0.1	Intersection	646.7385273028068	10.913515249921764	100
6	0.1	Weighted	544.6019840593626	7.942603734510437	100
7	0.01	SAA	371.10252152724917	3.898111452911244	100
7	0.01	Smoothing	292.67376364328715	4.210673477078918	100
7	0.01	Intersection	502.90254331634793	11.963187580110338	100
7	0.01	Weighted	292.6081176177785	4.61421197108357	100
7	0.05	SAA	913.6631025634715	9.000707574752195	100
7	0.05	Smoothing	481.6748867617713	4.519926620293541	100
7	0.05	Intersection	565.9407752453668	11.301453366621212	100
7	0.05	Weighted	440.71252026766297	9.197303448974413	100
7	0.1	SAA	1331.5036262953697	13.20465136633269	100
7	0.1	Smoothing	710.0107118671591	5.111814736200343	100
7	0.1	Intersection	695.0289216177664	11.086239360098551	100
7	0.1	Weighted	607.0986527290476	8.404581487658861	100
8	0.01	SAA	400.66145798645687	3.8568614443814844	100
8	0.01	Smoothing	309.8809244599608	4.198823584844518	100
8	0.01	Intersection	518.3411245877727	11.617155985403523	100
8	0.01	Weighted	308.7228569619262	4.25025731185406	100
8	0.05	SAA	991.8530689300866	9.188905665043215	100
8	0.05	Smoothing	522.7961347010121	4.412955745065345	100
8	0.05	Intersection	600.8258296302589	11.471855762257238	100
8	0.05	Weighted	469.9890927676627	8.721195810558115	100
8	0.1	SAA	1439.770137103035	13.473258086558278	100
8	0.1	Smoothing	779.6190601663274	4.884439512720554	100
8	0.1	Intersection	746.0405272214805	11.161500269580497	100
8	0.1	Weighted	664.8270669267272	8.866096657301199	100
9	0.01	SAA	429.50467303974216	3.8266616132255797	100
9	0.01	Smoothing	324.76676908131884	4.123596497343915	100
9	0.01	Intersection	533.6466083571997	11.59225768022562	100
9	0.01	Weighted	322.95196254945637	4.209224455195118	100
9	0.05	SAA	1073.4701499501307	9.2502300645564	100
9	0.05	Smoothing	559.854186719544	4.3119212153771125	100
9	0.05	Intersection	630.6760210719581	11.296445396344403	100
9	0.05	Weighted	503.82502219385213	8.422632154404434	100
9	0.1	SAA	1534.456450190746	13.325851204781204	100
9	0.1	Smoothing	843.4213004470566	4.79179494415088	100
9	0.1	Intersection	785.1139740784532	10.539343416454177	100
9	0.1	Weighted	712.9433046970224	8.126681218025203	100
10	0.01	SAA	457.7202331779936	3.827239604308203	100
10	0.01	Smoothing	341.48468715400804	4.091358455591034	100
10	0.01	Intersection	546.9505122451667	11.354287110936676	100
10	0.01	Weighted	339.3687554232532	4.461309136302021	100
10	0.05	SAA	1146.3235389765487	9.246630696838954	100
10	0.05	Smoothing	600.4182490322519	4.327919941258299	100
10	0.05	Intersection	653.8503888324834	11.060945984227875	100
10	0.05	Weighted	534.6510823091451	8.560989318724536	100
10	0.1	SAA	1613.4660798267157	13.114744952449852	100
10	0.1	Smoothing	908.057723672472	4.901766471358308	100
10	0.1	Intersection	828.4128553727277	10.32738274055806	100
10	0.1	Weighted	761.0106527107727	8.329920216979945	100
